"";
"Empresa";"1 - Ruppenthal Engenharia e Construção Ltda";
"Período";"01/05/2025 a 31/10/2027";"Data do cálculo";"12/05/2026";
"Juros";"0,00";"Multa";"0,00";
"Após Vencto - Indexador";"0 REAL";
"";
"Centro de Custo: ";"4 - Orla de Ipanema";
"Credor";"Documento";"Lançamento";"Qt.";"Ind.";"Data vencto";"%";"Dias";"Valor no vencto";"Acréscimo";"Desconto";"Total";
"Global Distribuição De Bens De Consumos Ltda";"NFM. 4322678";"3978/2";"3";"0";"16/05/2026";"100,00";"0";"963,78";"0,00";"0,00";"963,78";
"                          Obs: PGTO POR DEPOSITO EM CONTA";
"Global Distribuição De Bens De Consumos Ltda";"NFM. 433452";"3990/2";"3";"0";"17/05/2026";"100,00";"0";"1.223,38";"0,00";"0,00";"1.223,38";
"Global Distribuição De Bens De Consumos Ltda";"NFM. 446428";"4339/2";"3";"0";"08/06/2026";"100,00";"0";"1.589,80";"0,00";"0,00";"1.589,80";
"Global Distribuição De Bens De Consumos Ltda";"NFM. 408600";"3267/4";"4";"0";"09/06/2026";"100,00";"0";"2.541,82";"0,00";"0,00";"2.541,82";
"Global Distribuição De Bens De Consumos Ltda";"NFM. 411309";"3375/4";"4";"0";"12/06/2026";"100,00";"0";"1.937,25";"0,00";"0,00";"1.937,25";
"Global Distribuição De Bens De Consumos Ltda";"NFM. 4322678";"3978/3";"3";"0";"15/06/2026";"100,00";"0";"963,78";"0,00";"0,00";"963,78";
"                          Obs: PGTO POR DEPOSITO EM CONTA";
"Global Distribuição De Bens De Consumos Ltda";"NFM. 433452";"3990/3";"3";"0";"16/06/2026";"100,00";"0";"1.223,75";"0,00";"0,00";"1.223,75";
"Global Distribuição De Bens De Consumos Ltda";"NFM. 446428";"4339/3";"3";"0";"08/07/2026";"100,00";"0";"1.589,80";"0,00";"0,00";"1.589,80";
"I J M TRANSPORTES LTDA";"NFS. 62";"2807/2";"2";"0";"09/02/2026";"40,00";"92";"800,00";"0,00";"0,00";"800,00";
"                          Obs: FRETE GRAMS";
"I J M TRANSPORTES LTDA";"NFS. 66";"3959/1";"1";"0";"11/02/2026";"33,33";"90";"850,00";"0,00";"0,00";"850,00";
"                          Obs: REFERENTE MOVIMENTAÇÃO DE CONTAINERS";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 32";"962/2";"4";"0";"20/11/2025";"100,00";"173";"1.160,00";"0,00";"0,00";"1.160,00";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 038";"1399/1";"4";"0";"20/11/2025";"100,00";"173";"3.240,00";"0,00";"0,00";"3.240,00";
"                          Obs: BOLETO";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 038";"1399/2";"4";"0";"24/11/2025";"100,00";"169";"3.240,00";"0,00";"0,00";"3.240,00";
"                          Obs: BOLETO";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 32";"962/3";"4";"0";"26/11/2025";"100,00";"167";"1.160,00";"0,00";"0,00";"1.160,00";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 45";"1998/1";"4";"0";"28/11/2025";"100,00";"165";"1.802,50";"0,00";"0,00";"1.802,50";
"                          Obs: BOLETO";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 35";"1204/3";"4";"0";"08/12/2025";"100,00";"155";"1.450,00";"0,00";"0,00";"1.450,00";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 29";"741/4";"5";"0";"15/12/2025";"100,00";"148";"1.575,00";"0,00";"0,00";"1.575,00";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 46";"2220/1";"3";"0";"17/12/2025";"100,00";"146";"1.010,00";"0,00";"0,00";"1.010,00";
"                          Obs: BOLETO";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 30";"889/4";"4";"0";"20/12/2025";"100,00";"143";"1.612,50";"0,00";"0,00";"1.612,50";
"                          Obs: BOLETO";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 038";"1399/3";"4";"0";"24/12/2025";"100,00";"139";"3.240,00";"0,00";"0,00";"3.240,00";
"                          Obs: BOLETO";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 32";"962/4";"4";"0";"26/12/2025";"100,00";"137";"1.160,00";"0,00";"0,00";"1.160,00";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 45";"1998/2";"4";"0";"28/12/2025";"100,00";"135";"1.802,50";"0,00";"0,00";"1.802,50";
"                          Obs: BOLETO";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 35";"1204/4";"4";"0";"08/01/2026";"100,00";"124";"1.450,00";"0,00";"0,00";"1.450,00";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 46";"2220/2";"3";"0";"17/01/2026";"100,00";"115";"1.010,00";"0,00";"0,00";"1.010,00";
"                          Obs: BOLETO";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 038";"1399/4";"4";"0";"24/01/2026";"100,00";"108";"3.240,00";"0,00";"0,00";"3.240,00";
"                          Obs: BOLETO";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 45";"1998/3";"4";"0";"28/01/2026";"100,00";"104";"1.802,50";"0,00";"0,00";"1.802,50";
"                          Obs: BOLETO";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 49";"2904/1";"1";"0";"14/02/2026";"100,00";"87";"9.893,00";"0,00";"0,00";"9.893,00";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 46";"2220/3";"3";"0";"17/02/2026";"100,00";"84";"1.010,00";"0,00";"0,00";"1.010,00";
"                          Obs: BOLETO";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 51";"3033/1";"1";"0";"22/02/2026";"100,00";"79";"2.830,00";"0,00";"0,00";"2.830,00";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 45";"1998/4";"4";"0";"28/02/2026";"100,00";"73";"1.802,50";"0,00";"0,00";"1.802,50";
"                          Obs: BOLETO";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 53";"3112/1";"1";"0";"28/02/2026";"100,00";"73";"5.235,00";"0,00";"0,00";"5.235,00";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 58";"3271/1";"1";"0";"09/03/2026";"100,00";"64";"6.275,00";"0,00";"0,00";"6.275,00";
"MARCELO LARA MATTE - GREEN GRASS";"NFM. 2568";"4155/1";"1";"0";"15/04/2026";"100,00";"27";"3.900,00";"0,00";"0,00";"3.900,00";
"Multimodulos Containers Ltda";"FAT. 4189";"3152/2";"2";"0";"20/02/2026";"100,00";"81";"2.855,00";"0,00";"0,00";"2.855,00";
"                          Obs: DETALHES DA COBRANÇA ESTÃO NA FATURA ENVIADA EM 29/01 PELO WHATS FRANCISCO";
"Multimodulos Containers Ltda";"NFM. 4289";"4422/1";"1";"0";"20/04/2026";"100,00";"22";"5.150,00";"0,00";"0,00";"5.150,00";
"Otavio Transportes E Terraplanagem Ltda";"FAT. 030925";"2062/1";"1";"0";"06/06/2026";"50,00";"0";"1.000,00";"0,00";"0,00";"1.000,00";
"Porto Alegre Departamento Municipal De Aguas E Esgotos";"FAT. 300326";"4116/1";"1";"0";"25/05/2026";"100,00";"0";"70,00";"0,00";"0,00";"70,00";
"                          Obs: PREVISÃO CONTA DE AGUA";
"Prefeitura Municipal de Porto Alegre";"DARM. 080825";"661/1";"1";"0";"11/08/2025";"95,12";"274";"4.107,83";"0,00";"0,00";"4.107,83";
"                          Obs: ISSQN NOTAS RETIDAS PORTO ALEGRE";
"Prefeitura Municipal de Porto Alegre";"DARM. 100925";"1226/1";"1";"0";"10/09/2025";"86,29";"244";"5.195,44";"0,00";"0,00";"5.195,44";
"Prefeitura Municipal de Porto Alegre";"DARM. 101125";"2153/1";"1";"0";"10/11/2025";"64,49";"183";"1.484,16";"0,00";"0,00";"1.484,16";
"Prefeitura Municipal de Porto Alegre";"DARM. 101225";"2509/1";"1";"0";"10/12/2025";"100,00";"153";"511,79";"0,00";"0,00";"511,79";
"Prefeitura Municipal de Porto Alegre";"DARM. 120126";"2791/1";"1";"0";"12/01/2026";"66,48";"120";"3.152,85";"0,00";"0,00";"3.152,85";
"Prefeitura Municipal de Porto Alegre";"DARM. 100226";"3686/1";"1";"0";"10/02/2026";"67,11";"91";"2.848,11";"0,00";"0,00";"2.848,11";
"Prefeitura Municipal de Porto Alegre";"DARM. 100326";"3903/1";"1";"0";"10/03/2026";"72,44";"63";"3.284,57";"0,00";"0,00";"3.284,57";
"                          Obs: ISSQN";
"Prefeitura Municipal de Porto Alegre";"DARM. 100426";"4522/1";"1";"0";"10/04/2026";"63,72";"32";"2.227,40";"0,00";"0,00";"2.227,40";
"                          Obs: ISSQN";
"Prj Industria De Madeira Ltda";"NFM. 2604";"1918/1";"3";"0";"23/11/2025";"100,00";"170";"1.283,34";"0,00";"0,00";"1.283,34";
"                          Obs: BOLETO";
"Prj Industria De Madeira Ltda";"NFM. 2512";"964/3";"4";"0";"26/11/2025";"100,00";"167";"662,50";"0,00";"0,00";"662,50";
"                          Obs: BOLETO";
"Prj Industria De Madeira Ltda";"NFM. 2577";"1568/2";"4";"0";"02/12/2025";"100,00";"161";"1.462,50";"0,00";"0,00";"1.462,50";
"                          Obs: BOLETO";
"Prj Industria De Madeira Ltda";"NFM. 2528";"1208/3";"3";"0";"08/12/2025";"100,00";"155";"1.053,34";"0,00";"0,00";"1.053,34";
"                          Obs: BOLETO";
"Prj Industria De Madeira Ltda";"NFM. 2648";"2257/1";"3";"0";"14/12/2025";"100,00";"149";"1.282,00";"0,00";"0,00";"1.282,00";
"                          Obs: BOLETO";
"Prj Industria De Madeira Ltda";"NFM. 2499";"887/4";"4";"0";"15/12/2025";"100,00";"148";"1.262,50";"0,00";"0,00";"1.262,50";
"                          Obs: BOLETO";
"Prj Industria De Madeira Ltda";"NFM. 2545";"1310/3";"3";"0";"16/12/2025";"100,00";"147";"1.150,00";"0,00";"0,00";"1.150,00";
"                          Obs: BOLETO";
"Prj Industria De Madeira Ltda";"NFM. 2505";"888/4";"4";"0";"20/12/2025";"100,00";"143";"1.262,50";"0,00";"0,00";"1.262,50";
"                          Obs: BOLETO";
"Prj Industria De Madeira Ltda";"NFM. 2604";"1918/2";"3";"0";"23/12/2025";"100,00";"140";"1.283,33";"0,00";"0,00";"1.283,33";
"                          Obs: BOLETO";
"Prj Industria De Madeira Ltda";"NFM. 2512";"964/4";"4";"0";"26/12/2025";"100,00";"137";"662,50";"0,00";"0,00";"662,50";
"                          Obs: BOLETO";
"Prj Industria De Madeira Ltda";"NFM. 2577";"1568/3";"4";"0";"02/01/2026";"100,00";"130";"1.462,50";"0,00";"0,00";"1.462,50";
"                          Obs: BOLETO";
"Prj Industria De Madeira Ltda";"NFM. 2694";"2564/1";"3";"0";"09/01/2026";"100,00";"123";"1.843,33";"0,00";"0,00";"1.843,33";
"Prj Industria De Madeira Ltda";"NFM. 2648";"2257/2";"3";"0";"14/01/2026";"100,00";"118";"1.282,00";"0,00";"0,00";"1.282,00";
"                          Obs: BOLETO";
"Prj Industria De Madeira Ltda";"NFM. 2604";"1918/3";"3";"0";"23/01/2026";"100,00";"109";"1.283,33";"0,00";"0,00";"1.283,33";
"                          Obs: BOLETO";
"Prj Industria De Madeira Ltda";"NFM. 2577";"1568/4";"4";"0";"02/02/2026";"100,00";"99";"1.462,50";"0,00";"0,00";"1.462,50";
"                          Obs: BOLETO";
"Prj Industria De Madeira Ltda";"NFM. 2694";"2564/2";"3";"0";"09/02/2026";"100,00";"92";"1.843,33";"0,00";"0,00";"1.843,33";
"Prj Industria De Madeira Ltda";"NFM. 2648";"2257/3";"3";"0";"14/02/2026";"100,00";"87";"1.282,00";"0,00";"0,00";"1.282,00";
"                          Obs: BOLETO";
"Prj Industria De Madeira Ltda";"NFM. 2745";"3035/1";"1";"0";"22/02/2026";"100,00";"79";"1.050,00";"0,00";"0,00";"1.050,00";
"Prj Industria De Madeira Ltda";"NFM. 2760";"3115/1";"1";"0";"28/02/2026";"100,00";"73";"3.510,00";"0,00";"0,00";"3.510,00";
"Prj Industria De Madeira Ltda";"NFM. 2694";"2564/3";"3";"0";"09/03/2026";"100,00";"64";"1.843,34";"0,00";"0,00";"1.843,34";
"Rcd Capao Da Canoa Distribuidora De Materiais Para Construção Ltda";"NFM. 1313";"4012/2";"2";"0";"23/04/2026";"100,00";"19";"1.629,08";"0,00";"0,00";"1.629,08";
"Rm Locações De Equipamentos Ltda";"FAT. 1015";"2318/1";"1";"0";"15/08/2026";"100,00";"0";"809,83";"0,00";"0,00";"809,83";
"                          Obs: BOLETO";
"Rm Locações De Equipamentos Ltda";"FAT. 77270";"2776/1";"1";"0";"15/08/2026";"89,96";"0";"923,07";"0,00";"0,00";"923,07";
"                          Obs: BOLETO";
"SARGIL COMERCIO E TRANSPORTE DE MINERAIS LTDA";"NFM. 9840";"3259/1";"1";"0";"11/05/2026";"100,00";"1";"3.750,00";"0,00";"0,00";"3.750,00";
"Sulmak Locações De Equipamentos Ltda";"FAT. 15449";"4807/1";"1";"0";"30/03/2026";"100,00";"43";"6.920,00";"0,00";"0,00";"6.920,00";
"Supermix Concreto S/A";"NFS. 901";"4501/1";"2";"0";"08/05/2026";"100,00";"4";"4.272,16";"0,00";"0,00";"4.272,16";
"Supermix Concreto S/A";"NFS. 842";"4366/2";"2";"0";"18/05/2026";"100,00";"0";"8.247,44";"0,00";"0,00";"8.247,44";
"Supermix Concreto S/A";"NFS. 901";"4501/2";"2";"0";"28/05/2026";"100,00";"0";"4.272,16";"0,00";"0,00";"4.272,16";
"Thiago Da Silva Vargas-Transportes";"NFS. 140226";"3583/2";"2";"0";"23/02/2026";"100,00";"78";"250,00";"0,00";"0,00";"250,00";
"                          Obs: 2 DIÁRIAS DE RETRO";
"Thiago Da Silva Vargas-Transportes";"NFM. 2802262";"3755/1";"1";"0";"09/03/2026";"100,00";"64";"13.000,00";"0,00";"0,00";"13.000,00";
"                          Obs: ORLA DO LAMÍ
5 diárias de retro       6.500,00
40m3 de aterro        2.600,00
1 diária caminhão       1.300,00
20m3comp.orgânico2.600,00
                    Total       13.000,00";
"Thiago Da Silva Vargas-Transportes";"NFS. 0703262";"3804/1";"1";"0";"16/03/2026";"100,00";"57";"5.580,00";"0,00";"0,00";"5.580,00";
"                          Obs: ORLA DO LAMÍ 
1m3 de areia 
1m3 de brita                      650,00
12m3 de pó de brita      1.680,00
2 diárias de retro           2.600,00
10m3 de aterro                 650,00
                        Total       5.580,00";
"";
"Centro de Custo: ";"12 - Escritório Ana Patrícia Orsi";
"Credor";"Documento";"Lançamento";"Qt.";"Ind.";"Data vencto";"%";"Dias";"Valor no vencto";"Acréscimo";"Desconto";"Total";
"Rm Locações De Equipamentos Ltda";"FAT. 60023";"1138/1";"2";"0";"15/11/2026";"100,00";"0";"493,71";"0,00";"0,00";"493,71";
"Rm Locações De Equipamentos Ltda";"FAT. 60023";"1138/2";"2";"0";"15/12/2026";"100,00";"0";"446,29";"0,00";"0,00";"446,29";
"";
"Centro de Custo: ";"14 - Maquinas E Veículos";
"Credor";"Documento";"Lançamento";"Qt.";"Ind.";"Data vencto";"%";"Dias";"Valor no vencto";"Acréscimo";"Desconto";"Total";
"ABASTECEDORA DE COMBUSTIVEIS SPEED LTDA- VALVIC";"NFM. 4719";"4790/1";"1";"0";"15/05/2026";"100,00";"0";"123,22";"0,00";"0,00";"123,22";
"ABASTECEDORA DE COMBUSTIVEIS SPEED LTDA- VALVIC";"NFM. 4709";"4791/1";"1";"0";"15/05/2026";"100,00";"0";"130,65";"0,00";"0,00";"130,65";
"ANTONIO CESAR GASPAR- BAGÉ PNEUS";"NFM. 270426";"4595/1";"1";"0";"28/04/2026";"100,00";"14";"1.580,00";"0,00";"0,00";"1.580,00";
"                          Obs: CHEQUE 50 SANTANDER ";
"ANTONIO CESAR GASPAR- BAGÉ PNEUS";"NFS. 040526";"4689/1";"1";"0";"18/05/2026";"100,00";"0";"150,00";"0,00";"0,00";"150,00";
"                          Obs: VER SE TEM MAIS NOTAS LANÇADAS E VERIFICAR SE VAI SER PAGAMENTO EM CHEQUE OU PIX";
"ANTONIO CESAR GASPAR- BAGÉ PNEUS";"NFS. 060526";"4739/1";"1";"0";"18/05/2026";"100,00";"0";"290,00";"0,00";"0,00";"290,00";
"AUTO SERVICO LINDOLFO COLLOR LTDA -POSTO CHAFARIZ";"NFM. 171225";"2656/1";"15";"0";"30/05/2026";"100,00";"0";"40.000,00";"0,00";"0,00";"40.000,00";
"                          Obs: PREVISÃO COMBUSTIVEIS- ";
"AUTO SERVICO LINDOLFO COLLOR LTDA -POSTO CHAFARIZ";"NFM. 171225";"2656/2";"15";"0";"15/06/2026";"100,00";"0";"40.000,00";"0,00";"0,00";"40.000,00";
"                          Obs: PREVISÃO COMBUSTIVEIS- ";
"AUTO SERVICO LINDOLFO COLLOR LTDA -POSTO CHAFARIZ";"NFM. 171225";"2656/3";"15";"0";"30/06/2026";"100,00";"0";"40.000,00";"0,00";"0,00";"40.000,00";
"                          Obs: PREVISÃO COMBUSTIVEIS- ";
"AUTO SERVICO LINDOLFO COLLOR LTDA -POSTO CHAFARIZ";"NFM. 171225";"2656/4";"15";"0";"15/07/2026";"100,00";"0";"40.000,00";"0,00";"0,00";"40.000,00";
"                          Obs: PREVISÃO COMBUSTIVEIS- ";
"AUTO SERVICO LINDOLFO COLLOR LTDA -POSTO CHAFARIZ";"NFM. 171225";"2656/5";"15";"0";"30/07/2026";"100,00";"0";"40.000,00";"0,00";"0,00";"40.000,00";
"                          Obs: PREVISÃO COMBUSTIVEIS- ";
"AUTO SERVICO LINDOLFO COLLOR LTDA -POSTO CHAFARIZ";"NFM. 171225";"2656/6";"15";"0";"15/08/2026";"100,00";"0";"40.000,00";"0,00";"0,00";"40.000,00";
"                          Obs: PREVISÃO COMBUSTIVEIS- ";
"AUTO SERVICO LINDOLFO COLLOR LTDA -POSTO CHAFARIZ";"NFM. 171225";"2656/7";"15";"0";"30/08/2026";"100,00";"0";"40.000,00";"0,00";"0,00";"40.000,00";
"                          Obs: PREVISÃO COMBUSTIVEIS- ";
"AUTO SERVICO LINDOLFO COLLOR LTDA -POSTO CHAFARIZ";"NFM. 171225";"2656/8";"15";"0";"15/09/2026";"100,00";"0";"40.000,00";"0,00";"0,00";"40.000,00";
"                          Obs: PREVISÃO COMBUSTIVEIS- ";
"AUTO SERVICO LINDOLFO COLLOR LTDA -POSTO CHAFARIZ";"NFM. 171225";"2656/9";"15";"0";"30/09/2026";"100,00";"0";"40.000,00";"0,00";"0,00";"40.000,00";
"                          Obs: PREVISÃO COMBUSTIVEIS- ";
"AUTO SERVICO LINDOLFO COLLOR LTDA -POSTO CHAFARIZ";"NFM. 171225";"2656/10";"15";"0";"15/10/2026";"100,00";"0";"40.000,00";"0,00";"0,00";"40.000,00";
"                          Obs: PREVISÃO COMBUSTIVEIS- ";
"AUTO SERVICO LINDOLFO COLLOR LTDA -POSTO CHAFARIZ";"NFM. 171225";"2656/11";"15";"0";"30/10/2026";"100,00";"0";"40.000,00";"0,00";"0,00";"40.000,00";
"                          Obs: PREVISÃO COMBUSTIVEIS- ";
"AUTO SERVICO LINDOLFO COLLOR LTDA -POSTO CHAFARIZ";"NFM. 171225";"2656/12";"15";"0";"15/11/2026";"100,00";"0";"40.000,00";"0,00";"0,00";"40.000,00";
"                          Obs: PREVISÃO COMBUSTIVEIS- ";
"AUTO SERVICO LINDOLFO COLLOR LTDA -POSTO CHAFARIZ";"NFM. 171225";"2656/13";"15";"0";"30/11/2026";"100,00";"0";"40.000,00";"0,00";"0,00";"40.000,00";
"                          Obs: PREVISÃO COMBUSTIVEIS- ";
"AUTO SERVICO LINDOLFO COLLOR LTDA -POSTO CHAFARIZ";"NFM. 171225";"2656/14";"15";"0";"15/12/2026";"100,00";"0";"40.000,00";"0,00";"0,00";"40.000,00";
"                          Obs: PREVISÃO COMBUSTIVEIS- ";
"AUTO SERVICO LINDOLFO COLLOR LTDA -POSTO CHAFARIZ";"NFM. 171225";"2656/15";"15";"0";"30/12/2026";"100,00";"0";"40.000,00";"0,00";"0,00";"40.000,00";
"                          Obs: PREVISÃO COMBUSTIVEIS- ";
"AUTO SERVICO LINDOLFO COLLOR LTDA- CHAFARIZ";"NFM. 208809";"4594/1";"1";"0";"15/05/2026";"100,00";"0";"159,96";"0,00";"0,00";"159,96";
"AUTO SERVICO LINDOLFO COLLOR LTDA- CHAFARIZ";"NFS. 209284";"4680/1";"1";"0";"15/05/2026";"100,00";"0";"202,75";"0,00";"0,00";"202,75";
"AUTO SERVICO LINDOLFO COLLOR LTDA- CHAFARIZ";"NFM. 209730";"4743/1";"1";"0";"15/05/2026";"100,00";"0";"150,39";"0,00";"0,00";"150,39";
"AUTO SERVICO LINDOLFO COLLOR LTDA- POSTO CHAFARIZ";"NFM. 211206";"4612/1";"1";"0";"15/05/2026";"100,00";"0";"450,03";"0,00";"0,00";"450,03";
"AUTO SERVICO LINDOLFO COLLOR LTDA- POSTO CHAFARIZ";"NFM. 211346";"4613/1";"1";"0";"15/05/2026";"100,00";"0";"400,00";"0,00";"0,00";"400,00";
"AUTO SERVICO LINDOLFO COLLOR LTDA- POSTO CHAFARIZ";"NFM. 211344";"4614/1";"1";"0";"15/05/2026";"100,00";"0";"1.000,00";"0,00";"0,00";"1.000,00";
"AUTO SERVICO LINDOLFO COLLOR LTDA- POSTO CHAFARIZ";"NFM. 211355";"4615/1";"1";"0";"15/05/2026";"100,00";"0";"741,40";"0,00";"0,00";"741,40";
"AUTO SERVICO LINDOLFO COLLOR LTDA- POSTO CHAFARIZ";"NFM. 211476";"4628/1";"1";"0";"15/05/2026";"100,00";"0";"500,00";"0,00";"0,00";"500,00";
"AUTO SERVICO LINDOLFO COLLOR LTDA- POSTO CHAFARIZ";"NFM. 211402";"4629/1";"1";"0";"15/05/2026";"100,00";"0";"1.000,00";"0,00";"0,00";"1.000,00";
"AUTO SERVICO LINDOLFO COLLOR LTDA- POSTO CHAFARIZ";"NFM. 211410";"4630/1";"1";"0";"15/05/2026";"100,00";"0";"500,00";"0,00";"0,00";"500,00";
"AUTO SERVICO LINDOLFO COLLOR LTDA- POSTO CHAFARIZ";"NFM. 211644";"4668/1";"1";"0";"15/05/2026";"100,00";"0";"1.250,00";"0,00";"0,00";"1.250,00";
"                          Obs: BITTENCORT";
"AUTO SERVICO LINDOLFO COLLOR LTDA- POSTO CHAFARIZ";"NFM. 211642";"4669/1";"1";"0";"15/05/2026";"100,00";"0";"1.250,00";"0,00";"0,00";"1.250,00";
"                          Obs: BITTENCORT";
"AUTO SERVICO LINDOLFO COLLOR LTDA- POSTO CHAFARIZ";"NFS. 211627";"4670/1";"1";"0";"15/05/2026";"100,00";"0";"500,00";"0,00";"0,00";"500,00";
"AUTO SERVICO LINDOLFO COLLOR LTDA- POSTO CHAFARIZ";"NFS. 211909";"4671/1";"1";"0";"15/05/2026";"100,00";"0";"455,12";"0,00";"0,00";"455,12";
"AUTO SERVICO LINDOLFO COLLOR LTDA- POSTO CHAFARIZ";"NFM. 211422";"4672/1";"1";"0";"15/05/2026";"100,00";"0";"406,22";"0,00";"0,00";"406,22";
"AUTO SERVICO LINDOLFO COLLOR LTDA- POSTO CHAFARIZ";"NFM. 211912";"4675/1";"1";"0";"15/05/2026";"100,00";"0";"751,09";"0,00";"0,00";"751,09";
"AUTO SERVICO LINDOLFO COLLOR LTDA- POSTO CHAFARIZ";"NFM. 211800";"4676/1";"1";"0";"15/05/2026";"100,00";"0";"500,00";"0,00";"0,00";"500,00";
"AUTO SERVICO LINDOLFO COLLOR LTDA- POSTO CHAFARIZ";"NFM. 211795";"4677/1";"1";"0";"15/05/2026";"100,00";"0";"500,00";"0,00";"0,00";"500,00";
"AUTO SERVICO LINDOLFO COLLOR LTDA- POSTO CHAFARIZ";"NFM. 211770";"4678/1";"1";"0";"15/05/2026";"100,00";"0";"500,00";"0,00";"0,00";"500,00";
"AUTO SERVICO LINDOLFO COLLOR LTDA- POSTO CHAFARIZ";"NFM. 211679";"4679/1";"1";"0";"15/05/2026";"100,00";"0";"796,04";"0,00";"0,00";"796,04";
"AUTO SERVICO LINDOLFO COLLOR LTDA- POSTO CHAFARIZ";"NFM. 211619";"4681/1";"1";"0";"15/05/2026";"100,00";"0";"1.000,00";"0,00";"0,00";"1.000,00";
"AUTO SERVICO LINDOLFO COLLOR LTDA- POSTO CHAFARIZ";"NFS. 211591";"4682/1";"1";"0";"15/05/2026";"100,00";"0";"500,00";"0,00";"0,00";"500,00";
"AUTO SERVICO LINDOLFO COLLOR LTDA- POSTO CHAFARIZ";"NFM. 212042";"4693/1";"1";"0";"15/05/2026";"100,00";"0";"851,03";"0,00";"0,00";"851,03";
"AUTO SERVICO LINDOLFO COLLOR LTDA- POSTO CHAFARIZ";"NFM. 211630";"4695/1";"1";"0";"15/05/2026";"100,00";"0";"760,05";"0,00";"0,00";"760,05";
"AUTO SERVICO LINDOLFO COLLOR LTDA- POSTO CHAFARIZ";"NFM. 212223";"4734/1";"1";"0";"15/05/2026";"100,00";"0";"916,53";"0,00";"0,00";"916,53";
"AUTO SERVICO LINDOLFO COLLOR LTDA- POSTO CHAFARIZ";"NFM. 212039";"4735/1";"1";"0";"15/05/2026";"100,00";"0";"1.000,00";"0,00";"0,00";"1.000,00";
"AUTO SERVICO LINDOLFO COLLOR LTDA- POSTO CHAFARIZ";"NFM. 212076";"4736/1";"1";"0";"15/05/2026";"100,00";"0";"1.409,05";"0,00";"0,00";"1.409,05";
"AUTO SERVICO LINDOLFO COLLOR LTDA- POSTO CHAFARIZ";"NFM. 211948";"4737/1";"1";"0";"15/05/2026";"100,00";"0";"500,00";"0,00";"0,00";"500,00";
"AUTO SERVICO LINDOLFO COLLOR LTDA- POSTO CHAFARIZ";"NFM. 211947";"4738/1";"1";"0";"15/05/2026";"100,00";"0";"866,15";"0,00";"0,00";"866,15";
"AUTO SERVICO LINDOLFO COLLOR LTDA- POSTO CHAFARIZ";"NFM. 212084";"4744/1";"1";"0";"15/05/2026";"100,00";"0";"500,00";"0,00";"0,00";"500,00";
"AUTO SERVICO LINDOLFO COLLOR LTDA- POSTO CHAFARIZ";"NFM. 212243";"4745/1";"1";"0";"15/05/2026";"100,00";"0";"580,02";"0,00";"0,00";"580,02";
"AUTO SERVICO LINDOLFO COLLOR LTDA- POSTO CHAFARIZ";"NFS. 212223";"4746/1";"1";"0";"15/05/2026";"100,00";"0";"916,53";"0,00";"0,00";"916,53";
"AUTO SERVICO LINDOLFO COLLOR LTDA- POSTO CHAFARIZ";"NFM. 212148";"4747/1";"1";"0";"15/05/2026";"100,00";"0";"500,00";"0,00";"0,00";"500,00";
"AUTO SERVICO LINDOLFO COLLOR LTDA- POSTO CHAFARIZ";"NFM. 212099";"4748/1";"1";"0";"15/05/2026";"100,00";"0";"500,00";"0,00";"0,00";"500,00";
"AUTO SERVICO LINDOLFO COLLOR LTDA- POSTO CHAFARIZ";"NFS. 212243";"4749/1";"1";"0";"15/05/2026";"100,00";"0";"580,02";"0,00";"0,00";"580,02";
"AUTO SERVICO LINDOLFO COLLOR LTDA- POSTO CHAFARIZ";"NFM. 212260";"4792/1";"1";"0";"15/05/2026";"100,00";"0";"500,00";"0,00";"0,00";"500,00";
"AUTO SERVICO LINDOLFO COLLOR LTDA- POSTO CHAFARIZ";"NFM. 212289";"4793/1";"1";"0";"15/05/2026";"100,00";"0";"500,00";"0,00";"0,00";"500,00";
